Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Cote d'Ivoire,18815,119,17770,926,37,0.63,94.45,0.67,26378274,713.0,20217,146,0.72
Croatia,12626,206,9833,2587,341,1.63,77.88,2.09,4105268,3076.0,21741,6546,30.11
Cuba,4459,104,3727,628,82,2.33,83.58,2.79,11326616,394.0,6035,333,5.52
Cyprus,1514,22,1237,255,3,1.45,81.7,1.78,1207361,1254.0,2181,785,35.99
Czechia,31036,444,20374,10218,1159,1.43,65.65,2.18,10708981,2898.0,139290,69625,49.99
Denmark,19036,628,16414,1994,252,3.3,86.23,3.83,5897840,3228.0,34087,3420,10.03
Diamond Princess,712,13,651,48,0,1.83,91.43,2.0,0,inf,712,0,0.0
Djibouti,5391,61,5327,3,3,1.13,98.81,1.15,988002,5456.0,5440,72,1.32
Dominica,22,0,18,4,0,0.0,81.82,0.0,71991,306.0,32,1,3.12
Dominican Republic,100937,1914,74305,24718,806,1.9,73.62,2.58,10847904,9305.0,119662,2736,2.29
Ecuador,112166,10701,91242,10223,1409,9.54,81.35,11.73,17643060,6358.0,149083,6542,4.39
Egypt,100403,5577,80689,14137,175,5.55,80.37,6.91,102334403,981.0,104915,968,0.92
El Salvador,26602,770,16786,9046,91,2.89,63.1,4.59,6486201,4101.0,30766,1354,4.4
Equatorial Guinea,4990,83,4479,428,5,1.66,89.76,1.85,1402985,3557.0,5068,6,0.12
Eritrea,341,0,295,46,0,0.0,86.51,0.0,3546427,96.0,414,38,9.18
Estonia,2585,64,2213,308,21,2.48,85.61,2.89,1326539,1949.0,3947,224,5.68
Eswatini,4936,97,4077,762,32,1.97,82.6,2.38,1160164,4255.0,5715,90,1.57
Ethiopia,61700,966,23054,37680,916,1.57,37.36,4.19,114963583,537.0,86430,4688,5.42
Fiji,32,2,24,6,1,6.25,75.0,8.33,896444,36.0,32,1,3.12
Finland,8430,337,7500,593,93,4.0,88.97,4.49,5540718,1521.0,12703,1368,10.77
France,383292,30805,89242,263245,9574,8.04,23.28,34.52,68136441,5625.0,820376,179993,21.94
Gabon,8621,53,7618,950,13,0.61,88.37,0.7,2225728,3873.0,8869,32,0.36
Gambia,3293,99,1460,1734,18,3.01,44.34,6.78,2416664,1363.0,3642,15,0.41
Georgia,1773,19,1325,429,44,1.07,74.73,1.43,3989175,444.0,13521,7687,56.85
Germany,256433,9342,228784,18307,1476,3.64,89.22,4.08,166803158,1537.0,344487,53435,15.51
Ghana,45313,283,44188,842,301,0.62,97.52,0.64,31072945,1458.0,47126,335,0.71
Greece,12080,293,1347,10440,248,2.43,11.15,21.75,10423056,1159.0,23495,3839,16.34
Grenada,24,0,24,0,0,0.0,100.0,0.0,112519,213.0,25,2,8.0
Guatemala,79622,2897,68308,8417,901,3.64,85.79,4.24,17915567,4444.0,99094,3321,3.35
Guinea,9885,63,9068,754,37,0.64,91.73,0.69,13132792,753.0,11188,411,3.67
Guinea-Bissau,2245,38,1127,1080,0,1.69,50.2,3.37,1967998,1141.0,2389,14,0.59
Guyana,1703,48,1045,610,90,2.82,61.36,4.59,786559,2165.0,3589,261,7.27
Haiti,8384,214,5991,2179,8,2.55,71.46,3.57,11402533,735.0,8908,71,0.8
Holy See,12,0,12,0,0,0.0,100.0,0.0,809,14833.0,19,8,42.11
Honduras,65597,2044,15064,48489,379,3.12,22.96,13.57,9904608,6623.0,85458,5620,6.58
Hungary,9715,628,3984,5103,411,6.46,41.01,15.76,9660350,1006.0,40782,9398,23.04
Iceland,2153,10,2067,76,3,0.46,96.01,0.48,341250,6309.0,3757,473,12.59
India,4465863,75062,3471783,919018,95735,1.68,77.74,2.16,-2147483648,-2080.0,7307097,399849,5.47
Indonesia,203342,8336,145200,49806,3307,4.1,71.41,5.74,273523621,743.0,344749,28360,8.23
Iran,393425,22669,339111,31645,2313,5.76,86.19,6.68,83992953,4684.0,513219,32067,6.25
Iraq,273821,7732,209993,56096,4243,2.82,76.69,3.68,40222503,6808.0,413215,25050,6.06
Ireland,30164,1781,23364,5019,84,5.9,77.46,7.62,4937796,6109.0,45243,8179,18.08
Israel,141097,1054,108354,31689,3532,0.75,76.79,0.97,8655541,16301.0,298500,8835,2.96
Italy,281583,35577,211272,34734,1430,12.63,75.03,16.84,120822834,2331.0,372799,76849,20.61
Jamaica,3437,38,1019,2380,114,1.11,29.65,3.73,2961161,1161.0,7989,456,5.71
Japan,73264,1412,63734,8118,540,1.93,86.99,2.22,252643406,290.0,90694,3821,4.21
Jordan,2659,19,1919,721,78,0.71,72.17,0.99,10203140,261.0,30550,13070,42.78
Kazakhstan,106584,1634,100248,4702,86,1.53,94.06,1.63,18776707,5676.0,109094,813,0.75
Kenya,35460,607,21557,13296,104,1.71,60.79,2.82,53771300,659.0,42541,3603,8.47
"Korea, South",21743,346,17360,4037,155,1.59,79.84,1.99,51269183,424.0,24988,555,2.22
Kosovo,14377,574,10926,2877,76,3.99,76.0,5.25,1793000,8018.0,16425,838,5.1
Kuwait,92082,552,82222,9308,838,0.6,89.29,0.67,4270563,21562.0,113269,5262,4.65
Kyrgyzstan,44613,1061,40336,3216,126,2.38,90.41,2.63,6524191,6838.0,50201,3258,6.49
Laos,22,0,21,1,0,0.0,95.45,0.0,7275556,3.0,23,1,4.35
Latvia,1443,35,1234,174,11,2.43,85.52,2.84,1886202,765.0,2942,855,29.06
Lebanon,21877,212,7024,14641,553,0.97,32.11,3.02,6825442,3205.0,57246,8331,14.55
Lesotho,1164,31,528,605,16,2.66,45.36,5.87,2142252,543.0,1833,85,4.64
Liberia,1313,82,1194,37,2,6.25,90.94,6.87,5057677,260.0,1372,13,0.95
Libya,20462,324,2329,17809,879,1.58,11.38,13.91,6871287,2978.0,45821,5804,12.67
Liechtenstein,108,1,105,2,1,0.93,97.22,0.95,38137,2832.0,174,78,44.83
Lithuania,3163,86,2008,1069,32,2.72,63.48,4.28,2722291,1162.0,6505,1734,26.66
Luxembourg,7023,124,6292,607,49,1.77,89.59,1.97,625976,11219.0,10030,1641,16.36
MS Zaandam,9,2,0,7,0,22.22,0.0,inf,0,inf,9,0,0.0
Madagascar,15520,206,14243,1071,85,1.33,91.77,1.45,27691019,560.0,16754,56,0.33
Malawi,5653,176,3630,1847,23,3.11,64.21,4.85,19129955,296.0,5829,35,0.6
Malaysia,9583,128,9143,312,24,1.34,95.41,1.4,32365998,296.0,17540,5417,30.88
Maldives,8834,31,6288,2515,93,0.35,71.18,0.49,540542,16343.0,11062,254,2.3
Mali,2898,128,2267,503,16,4.42,78.23,5.65,20250834,143.0,3352,76,2.27
Malta,2162,14,1760,388,63,0.65,81.41,0.8,441539,4897.0,4048,978,24.16
Mauritania,7191,161,6701,329,26,2.24,93.19,2.4,4649660,1547.0,7572,66,0.87
Mauritius,361,10,335,16,0,2.77,92.8,2.99,1271767,284.0,407,12,2.95
Mexico,647321,69049,538514,39758,4461,10.67,83.19,12.82,255584572,2533.0,829396,38163,4.6
Moldova,41144,1096,28962,11086,588,2.66,70.39,3.78,4033963,10199.0,64424,4367,6.78
Monaco,161,1,107,53,5,0.62,66.46,0.93,39244,4103.0,248,25,10.08
Mongolia,310,0,298,12,0,0.0,96.13,0.0,3278292,95.0,320,8,2.5
Montenegro,6094,114,4350,1630,219,1.87,71.38,2.62,628062,9703.0,14461,1608,11.12
Morocco,77878,1453,59723,16702,2157,1.87,76.69,2.43,36910558,2110.0,160333,22247,13.88
Mozambique,4764,28,2763,1973,117,0.59,58.0,1.01,31255435,152.0,10392,939,9.04
Namibia,9108,93,4640,4375,180,1.02,50.94,2.0,2540916,3585.0,12069,337,2.79
Nepal,49219,312,33882,15025,1081,0.63,68.84,0.92,29136808,1689.0,117996,26876,22.78
Netherlands,81085,6281,1742,73062,1293,7.75,2.15,360.56,34882427,2325.0,201942,57265,28.36
New Zealand,1792,24,1648,120,4,1.34,91.96,1.46,4822233,372.0,1876,38,2.03
Nicaragua,4818,144,2913,1761,0,2.99,60.46,4.94,6624554,727.0,5353,81,1.51
Niger,1178,69,1099,10,0,5.86,93.29,6.28,24206636,49.0,1205,9,0.75
Nigeria,55632,1070,43610,10952,176,1.92,78.39,2.45,399640130,139.0,60834,833,1.37
North Macedonia,15293,634,12754,1905,67,4.15,83.4,4.97,2083380,7340.0,21636,3200,14.79
Norway,11746,264,9348,2134,123,2.25,79.58,2.82,5421242,2167.0,15953,1011,6.34
Oman,87939,751,83115,4073,349,0.85,94.51,0.9,5106622,17221.0,107776,3708,3.44
Pakistan,300030,6365,287658,6007,371,2.12,95.88,2.21,428724125,700.0,321218,4262,1.33
Panama,99042,2116,71419,25507,635,2.14,72.11,2.96,4314768,22954.0,122128,4307,3.53
Papua New Guinea,504,5,232,267,1,0.99,46.03,2.16,8947027,56.0,578,3,0.52
Paraguay,25026,474,12309,12243,812,1.89,49.18,3.85,7132530,3509.0,51845,4974,9.59
Peru,696190,30123,536959,129108,4615,4.33,77.13,5.61,65597846,10613.0,853974,20144,2.36
Philippines,245143,3986,185543,55614,3156,1.63,75.69,2.15,109581085,2237.0,346536,15707,4.53
Poland,71947,2147,57135,12665,421,2.98,79.41,3.76,37846605,1901.0,141804,60775,42.86
Portugal,61541,1849,43284,16408,646,3.0,70.33,4.27,10196707,6035.0,91193,15078,16.53
Qatar,120846,205,117746,2895,267,0.17,97.43,0.17,2881060,41945.0,128603,1607,1.25
Romania,98304,4018,41002,53284,1271,4.09,41.71,9.8,19237682,5110.0,164477,26625,16.19
Russia,1037526,18080,854069,165377,5172,1.74,82.32,2.12,292579178,3546.0,1332824,105395,7.91
Rwanda,4460,21,2325,2114,21,0.47,52.13,0.9,12952209,344.0,4940,72,1.46
Saint Kitts and Nevis,17,0,17,0,0,0.0,100.0,0.0,53109,320.0,19,0,0.0
Saint Lucia,27,0,26,1,1,0.0,96.3,0.0,183629,147.0,31,7,22.58
Saint Vincent and the Grenadines,62,0,58,4,0,0.0,93.55,0.0,110854,559.0,64,4,6.25
San Marino,722,42,662,18,6,5.82,91.69,6.34,33938,21274.0,741,33,4.45
Sao Tome and Principe,898,15,862,21,0,1.67,95.99,1.74,219159,4097.0,929,6,0.65
Saudi Arabia,323012,4165,298966,19881,775,1.29,92.56,1.39,34813867,9278.0,340590,2783,0.82
Senegal,14102,293,10176,3633,58,2.08,72.16,2.88,16743930,842.0,15331,153,1.0
Serbia,32078,728,0,31350,84,2.27,0.0,inf,8737370,3671.0,35251,1869,5.3
Seychelles,137,0,127,10,0,0.0,92.7,0.0,98340,1393.0,148,3,2.03
Sierra Leone,2067,72,1622,373,3,3.48,78.47,4.44,7976985,259.0,2315,22,0.95
Singapore,57166,27,56492,647,75,0.05,98.82,0.05,5850343,9771.0,57889,44,0.08
Slovakia,4888,37,2947,1904,161,0.76,60.29,1.26,5459643,895.0,22296,11306,50.71
Slovenia,3312,135,2587,590,80,4.08,78.11,5.22,2078932,1593.0,9938,6044,60.82
Solomon Islands,0,0,0,0,0,0.0,0.0,0.0,652858,0.0,2,1,50.0
Somalia,3371,97,2738,536,0,2.88,81.22,3.54,15893219,212.0,3864,26,0.67
South Africa,642431,15168,569935,57328,1990,2.36,88.72,2.66,59308690,10832.0,696414,11945,1.72
South Sudan,2555,49,1290,1216,3,1.92,50.49,3.8,11193729,228.0,2798,72,2.57
Spain,543379,29628,150376,363375,8866,5.45,27.67,19.7,93691843,5800.0,908056,97239,10.71
Sri Lanka,3147,12,2946,189,7,0.38,93.61,0.41,21413250,147.0,5170,808,15.63
Sudan,13437,833,6730,5874,0,6.2,50.09,12.38,43849269,306.0,13691,33,0.24
Suriname,4447,92,3622,733,28,2.07,81.45,2.54,586634,7581.0,5083,67,1.32
Sweden,85880,5842,0,80038,173,6.8,0.0,inf,20426859,4204.0,101332,6023,5.94
Switzerland,45306,2019,38100,5187,469,4.46,84.09,5.3,8654618,5235.0,68704,23059,33.56
Syria,3351,143,780,2428,62,4.27,23.28,18.33,17500657,191.0,4883,341,6.98
Taiwan*,495,7,475,13,0,1.41,95.96,1.47,23806638,21.0,530,14,2.64
Tajikistan,8899,71,7683,1145,39,0.8,86.34,0.92,9537642,933.0,10336,277,2.68
Tanzania,509,21,183,305,0,4.13,35.95,11.48,59734213,9.0,509,0,0.0
Thailand,3454,58,3310,86,7,1.68,95.83,1.75,69799978,49.0,3652,67,1.83
Timor-Leste,27,0,25,2,0,0.0,92.59,0.0,1318442,20.0,29,0,0.0
Togo,1528,36,1144,348,15,2.36,74.87,3.15,8278737,185.0,1983,137,6.91
Trinidad and Tobago,2588,39,749,1800,197,1.51,28.94,5.21,1399491,1849.0,5154,238,4.62
Tunisia,5417,96,1862,3459,0,1.77,34.37,5.16,11818618,458.0,34790,11102,31.91
Turkey,284943,6837,254188,23918,1673,2.4,89.21,2.69,84339067,3379.0,340450,12976,3.81
US,6365325,190853,2387479,3786993,33552,3.0,37.51,7.99,330541757,19257.0,7916099,419932,5.3
Uganda,4101,46,1876,2179,201,1.12,45.74,2.45,45741000,90.0,10069,864,8.58
Ukraine,146511,3034,67092,76385,2597,2.07,45.79,4.52,89634808,1635.0,283762,41180,14.51
United Arab Emirates,75981,393,67359,8229,883,0.52,88.65,0.58,9890400,7682.0,110039,9093,8.26
United Kingdom,357613,41683,1831,314099,2681,11.66,0.51,2276.52,134856358,2652.0,657459,134735,20.49
Uruguay,1741,45,1478,218,29,2.58,84.89,3.04,3473727,501.0,2388,275,11.52
Uzbekistan,44930,366,42212,2352,649,0.81,93.95,0.87,33469199,1342.0,61950,2060,3.33
Venezuela,56751,452,45318,10981,1188,0.8,79.85,1.0,28435943,1996.0,85005,3030,3.56
Vietnam,1059,35,890,134,5,3.31,84.04,3.93,97338583,11.0,1122,22,1.96
West Bank and Gaza,27919,192,18466,9261,556,0.69,66.14,1.04,4543126,6145.0,45658,2970,6.5
Western Sahara,10,1,8,1,0,10.0,80.0,12.5,597330,17.0,10,0,0.0
Yemen,1999,576,1209,214,5,28.81,60.48,47.64,29825968,67.0,2053,4,0.19
Zambia,13112,300,11839,973,160,2.29,90.29,2.53,18383956,713.0,15616,384,2.46
Zimbabwe,7429,222,5542,1665,41,2.99,74.6,4.01,14862927,500.0,8055,160,1.99
